Timestamp,Long_ex,Short_ex,Total_Invested,Long_Net_Profit,Short_Net_Profit,Net_Profit,ROI,Rebated_Net_Profit,Rebated_ROI,Symbol
2026-02-08 02:28,binance,bybit,814.79,-1.7895,1.6295,-0.16,-0.000196,0.1588,0.000195,ARKUSDT
2026-02-08 03:28,binance,bybit,809.44,2.7296,-2.4722,0.2574,0.000318,0.5736,0.000709,ARKUSDT
2026-02-08 04:28,gate,bybit,973.73,-2.0152,0.9231,-1.0921,-0.001122,-0.471,-0.000484,NOMUSDT
2026-02-08 05:28,bitget,okx,1000.67,4.5912,-0.2916,4.2996,0.004297,4.8103,0.004807,FUSDT
2026-02-08 06:28,binance,okx,812.2,-4.2836,8.046,3.7624,0.004632,4.104,0.005053,FUSDT
2026-02-08 07:28,binance,okx,804.47,1.4369,0.1879,1.6248,0.00202,1.9618,0.002439,FUSDT
2026-02-08 08:28,binance,gate,807.22,1.0971,-0.6099,0.4873,0.000604,0.9259,0.001147,NOMUSDT
2026-02-08 11:28,okx,bybit,1014.97,-8.9984,13.4827,4.4844,0.004418,4.9999,0.004926,API3USDT
2026-02-08 12:28,bybit,okx,998.77,6.816,-2.44,4.376,0.004381,4.8932,0.004899,API3USDT
2026-02-08 16:28,bybit,gate,969.01,3.1718,-2.4725,0.6993,0.000722,1.3255,0.001368,ARKUSDT
2026-02-08 20:28,bybit,binance,820.39,-2.228,2.1388,-0.0892,-0.000109,0.4243,0.000517,DUSKUSDT
2026-02-08 22:28,okx,bybit,994.38,2.339,-4.6163,-2.2773,-0.00229,-1.7619,-0.001772,WCTUSDT
2026-02-09 00:28,binance,bybit,824.24,-22.431,24.8013,2.3703,0.002876,2.8782,0.003492,DUSKUSDT
2026-02-09 04:28,gate,binance,1001.44,-25.0366,16.4603,-8.5763,-0.008564,-8.0581,-0.008047,RVVUSDT
2026-02-09 08:28,binance,gate,747.17,-8.7649,11.767,3.0021,0.004018,3.3965,0.004546,RVVUSDT
2026-02-09 12:28,gate,okx,747.13,-6.2517,5.6849,-0.5669,-0.000759,-0.065,-8.7e-05,GPSUSDT
2026-02-09 14:28,binance,bybit,731.39,3.6525,-3.7311,-0.0786,-0.000107,0.201,0.000275,VANAUSDT
2026-02-09 15:28,okx,bybit,757.37,11.3747,-10.8969,0.4778,0.000631,0.8806,0.001163,VANAUSDT
2026-02-09 16:28,bybit,gate,966.3,-11.1811,9.5774,-1.6037,-0.00166,-0.9922,-0.001027,VANAUSDT
2026-02-09 17:28,binance,bybit,737.97,14.2981,-19.4994,-5.2013,-0.007048,-4.7208,-0.006397,ZKPUSDT
2026-02-09 18:28,binance,bybit,762.63,0.7239,-0.3746,0.3494,0.000458,0.825,0.001082,ZKPUSDT
2026-02-09 19:28,binance,bybit,762.6,3.3958,3.238,6.6338,0.008699,7.1054,0.009317,ZKPUSDT
2026-02-09 20:28,bybit,gate,983.54,4.3672,-4.1986,0.1686,0.000171,0.8007,0.000814,VANAUSDT
2026-02-09 21:28,bitget,bybit,1001.44,1.2853,-3.4806,-2.1953,-0.002192,-1.4668,-0.001465,MYXUSDT
2026-02-10 00:28,binance,gate,768.63,-2.8785,2.8918,0.0133,1.7e-05,0.428,0.000557,MYXUSDT
2026-02-10 01:28,okx,bybit,777.84,1.2407,0.0719,1.3126,0.001687,1.7153,0.002205,AXSUSDT
2026-02-10 02:28,okx,bybit,780.07,0.084,-0.9106,-0.8266,-0.00106,-0.4227,-0.000542,AXSUSDT
2026-02-10 03:28,okx,bybit,780.23,-4.3163,4.1719,-0.1444,-0.000185,0.2587,0.000332,AXSUSDT
2026-02-10 04:28,gate,okx,772.46,-3.8101,2.4971,-1.313,-0.0017,-0.7939,-0.001028,AXSUSDT
2026-02-10 06:28,binance,bybit,763.3,-6.793,7.8452,1.0522,0.001378,1.3447,0.001762,SONICUSDT
2026-02-10 10:28,binance,bybit,751.17,-2.7776,0.9597,-1.818,-0.00242,-1.5224,-0.002027,SONICUSDT
2026-02-10 12:28,gate,okx,776.95,-6.8515,4.7823,-2.0691,-0.002663,-1.5475,-0.001992,AXSUSDT
2026-02-10 13:28,binance,bybit,746.17,-1.8398,4.8107,2.9709,0.003982,3.2517,0.004358,VANAUSDT
2026-02-10 14:28,binance,bybit,742.85,-0.8298,2.983,2.1532,0.002899,2.4398,0.003284,SONICUSDT
2026-02-10 16:28,bybit,gate,961.99,-3.5565,8.5602,5.0037,0.005201,5.5979,0.005819,VANAUSDT
2026-02-10 17:28,bitget,bybit,1003.75,0.1031,-1.3703,-1.2672,-0.001262,-0.545,-0.000543,MYXUSDT
2026-02-10 18:28,binance,bybit,741.35,-0.4978,3.8809,3.3832,0.004564,3.8493,0.005192,MYXUSDT
2026-02-10 19:28,okx,bybit,785.56,-1.3206,-0.7772,-2.0978,-0.00267,-1.893,-0.00241,AXSUSDT
2026-02-10 20:28,gate,okx,783.18,-2.7698,1.5795,-1.1904,-0.00152,-0.6653,-0.00085,AXSUSDT
2026-02-10 23:28,bitget,bybit,1003.08,6.3543,-6.9901,-0.6358,-0.000634,-0.1538,-0.000153,AXSUSDT
2026-02-11 00:28,binance,gate,743.22,-0.7135,2.7742,2.0607,0.002773,2.4508,0.003298,MYXUSDT
2026-02-11 01:28,binance,bybit,741.94,-2.5267,4.7635,2.2368,0.003015,2.523,0.003401,VANAUSDT
